"temp","order","phase","cycle","date","time","chamber_id","o2","mo2","n","bground","leak","mo2corr","resp_cat_date","chamber_n","id_prox","time_hms","date_chr","holding_tank","id","chamber_condition","chamber_type","mass","length","measured_salinity","fasted","comments","respirometer_group","salinity_group","start_date","chamber","volume","smr_l3","smr_chabot","smr_chabot_method","MO2","MO2_g","SMR","SMR_g","SMR_CHABOT","SMR_CHABOT_g","DO","net_volume","MO2_BG","BG","MO2_adj"
14.00630833,6,"smr","5",2024-11-24,17.94499998,"a1",10.30575831,-0.0004176996985,240,-9.73683966160454e-05,NA,-0.000320331301883955,"a_24nov","1","a_24nov_1",17:56:41.999928,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000320331301883955,0.000604398682799914,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,100.387350699479,-0.425,0.639080538705,-0.0368052539208652,0.602275284784135
14.00945835,7,"smr","6",2024-11-24,18.44500008,"a1",10.32834158,-0.0003487124811,240,-9.83435433315254e-05,NA,-0.000250368937768475,"a_24nov","1","a_24nov_1",18:26:42.000288,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000250368937768475,0.000472394222204669,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,100.614320890028,-0.425,0.533530096083,-0.0371738593793166,0.496356236703683
14.04647082,8,"smr","7",2024-11-24,19.24499998,"a1",10.39352498,-0.000320645772,240,-9.97307897701571e-05,NA,-0.000220914982229843,"a_24nov","1","a_24nov_1",19:14:41.999928,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000220914982229843,0.000416820721188383,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.331954799734,-0.425,0.49058803116,-0.0376982385331194,0.452889792626881
14.01549168,9,"smr","8",2024-11-24,19.94499998,"a1",10.29107922,-0.0003171622012,240,-9.95068067701586e-05,NA,-0.000217655394429841,"a_24nov","1","a_24nov_1",19:56:41.999928,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000217655394429841,0.000410670555528003,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,100.264664743504,-0.425,0.485258167836,-0.0376135729591199,0.44764459487688
13.98927086,10,"smr","9",2024-11-24,20.44500008,"a1",10.20776708,-0.0005849375968,240,-9.94541303070699e-05,NA,-0.00048548346649293,"a_24nov","1","a_24nov_1",20:26:42.000288,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.00048548346649293,0.000916006540552698,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,99.3954707802029,-0.425,0.894954523104,-0.0375936612560724,0.857360861847928
14.02646668,11,"smr","10",2024-11-24,21.24499998,"a1",10.4332708,-0.0002789822765,240,-0.000102420729933909,NA,-0.000176561546566091,"a_24nov","1","a_24nov_1",21:14:41.999928,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000176561546566091,0.000333134993520927,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.674617916799,-0.425,0.426842883045,-0.0387150359150176,0.388127847129982
14.01307913,12,"smr","11",2024-11-24,21.94499998,"a1",10.45134167,-0.0003079291835,240,-0.000103368979919783,NA,-0.000204560203580217,"a_24nov","1","a_24nov_1",21:56:41.999928,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000204560203580217,0.000385962648264561,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.820664676817,-0.425,0.471131650755,-0.0390734744096778,0.432058176345322
14.02656248,13,"smr","12",2024-11-24,22.44500008,"a1",10.4122334,-0.0002581876155,240,-0.000103750148060788,NA,-0.000154437467439212,"a_24nov","1","a_24nov_1",22:26:42.000288,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000154437467439212,0.000291391447998513,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.469817921287,-0.425,0.395027051715,-0.0392175559669779,0.355809495748022
14.04707081,14,"smr","13",2024-11-24,23.24499998,"a1",10.46845411,-0.0003100613983,240,-0.000105082460612671,NA,-0.000204978937687329,"a_24nov","1","a_24nov_1",23:14:41.999928,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000204978937687329,0.000386752712617602,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,102.063827892499,-0.425,0.474393939399,-0.0397211701115896,0.43467276928741
14.03173753,15,"smr","14",2024-11-24,5.945624923,"a1",10.46029581,-0.0002566701482,240,-0.000105772080843309,NA,-0.000150898067356691,"a_24nov","1","a_24nov_1",05:56:44.249723,"24/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000150898067356691,0.000284713334635266,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.949827761496,-0.425,0.392705326746,-0.0399818465587708,0.352723480187229
14.0346875,16,"smr","15",2024-11-25,0.4458333307,"a1",10.42392501,-0.0002018573345,240,-0.000106173138524646,NA,-9.56841959753544e-05,"a_24nov","1","a_24nov_1",00:26:44.999991,"25/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",9.56841959753544e-05,0.000180536218821423,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.601951193284,-0.425,0.308841721785,-0.040133446362316,0.268708275422684
14.03357922,17,"smr","16",2024-11-25,1.245833332,"a1",10.42726252,-0.0002424313266,240,-0.000106976209735888,NA,-0.000135455116864112,"a_24nov","1","a_24nov_1",01:14:44.999995,"25/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000135455116864112,0.000255575692196438,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.631999107862,-0.425,0.370919929698,-0.0404370072801656,0.330482922417834
14.07703748,18,"smr","17",2024-11-25,1.947499976,"a1",10.42720839,-0.0002673570184,240,-0.000107744727331595,NA,-0.000159612291068405,"a_24nov","1","a_24nov_1",01:56:50.999914,"25/11/2024","A","a_0_24nov_1","fish","M_M",0.53,51,0.32,72,NA,"a","0","24nov","1",0.105,-0.000127345793398719,0.000164391712973969,"quant_20per",0.000159612291068405,0.000301155266166803,0.000127345793398719,0.000240275081884376,0.000164391712973969,0.000310173043347111,101.728837042541,-0.425,0.409056238152,-0.0407275069313428,0.368328731220657
